"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 29, 2023","24.613","24.010","24.746","23.757","4.42M","2.49%"
"Jan 28, 2023","24.016","24.424","25.117","23.783","4.72M","-1.66%"
"Jan 27, 2023","24.420","24.349","24.917","23.441","7.30M","0.29%"
"Jan 26, 2023","24.349","24.510","25.197","23.897","7.66M","-0.66%"
"Jan 25, 2023","24.510","22.767","25.368","22.320","12.13M","7.66%"
"Jan 24, 2023","22.767","24.316","25.170","22.452","8.78M","-6.37%"
"Jan 23, 2023","24.316","24.222","24.884","23.901","9.47M","0.39%"
"Jan 22, 2023","24.222","24.550","25.413","23.666","10.59M","-1.32%"
"Jan 21, 2023","24.547","25.550","26.424","24.547","19.01M","-3.93%"
"Jan 20, 2023","25.550","21.420","25.703","20.951","14.86M","19.28%"
"Jan 19, 2023","21.420","20.849","21.836","20.440","9.27M","2.74%"
"Jan 18, 2023","20.849","22.870","23.577","20.534","16.64M","-8.84%"
"Jan 17, 2023","22.870","23.578","23.936","22.779","9.21M","-3.00%"
"Jan 16, 2023","23.578","22.890","24.859","22.370","16.39M","2.97%"
"Jan 15, 2023","22.897","24.233","24.813","22.056","17.06M","-5.57%"
"Jan 14, 2023","24.247","18.287","24.641","18.206","39.69M","32.59%"
"Jan 13, 2023","18.287","16.600","18.577","16.330","16.31M","10.16%"
"Jan 12, 2023","16.600","16.365","16.930","15.714","14.51M","1.48%"
"Jan 11, 2023","16.357","16.194","16.572","15.334","10.45M","1.01%"
"Jan 10, 2023","16.194","16.258","16.690","15.604","13.99M","-0.44%"
"Jan 09, 2023","16.266","14.446","17.453","14.304","31.73M","12.32%"
"Jan 08, 2023","14.482","13.094","14.599","12.860","9.87M","10.60%"
"Jan 07, 2023","13.094","13.500","13.508","13.026","3.28M","-3.15%"
"Jan 06, 2023","13.520","13.420","13.576","12.740","9.15M","0.75%"
"Jan 05, 2023","13.420","13.442","13.850","12.954","9.58M","-0.14%"
"Jan 04, 2023","13.438","13.377","14.166","12.861","20.70M","0.51%"
"Jan 03, 2023","13.370","11.274","13.646","11.018","22.97M","18.59%"
"Jan 02, 2023","11.274","10.000","11.637","9.815","13.25M","12.74%"
"Jan 01, 2023","10.000","9.955","10.080","9.705","4.58M","0.45%"
"Dec 31, 2022","9.955","9.903","10.170","9.670","6.79M","0.61%"
"Dec 30, 2022","9.895","9.647","10.121","9.029","23.46M","2.45%"
"Dec 29, 2022","9.658","9.760","9.928","8.085","20.96M","-1.04%"
