Date,Open,High,Low,Close,Volume,Market Cap
Jan-27-2023,24.5513,25.0537,23.9616,24.1211,1717725699.1111112,8829831457.706924
Jan-26-2023,24.4659,24.883648204030667,23.5253,24.5253,1902610310.2222223,8733898605.560493
Jan-25-2023,24.61788172567111,25.18,24.0486,24.4368,2894638256,8922980148.813835
Jan-24-2023,22.915633992293564,25.2508,22.3699,24.6437,2528640628,8520026043.8635235
Jan-23-2023,24.3527,25.1314,22.7874,22.921108608440043,1940687021.3333333,8878453911.744144
Jan-22-2023,24.2225,24.9052,24.0097,24.3938,2090227889.3333333,8876931811.14038
Jan-21-2023,24.6213,25.3976,23.7558,24.2603,2739124059.111111,9040760145.675476
Jan-20-2023,25.5415,26.327503420080287,24.6129,24.6571,4430287665.777778,9162582734.496681
Jan-19-2023,21.43092157452659,25.673,20.9782,25.5575,1919239323.1111112,7975654477.3167305
Jan-18-2023,20.8720911650392,21.74134518403151,20.588328502658484,21.404955608821837,2952752303.111111,7709170502.87226
Jan-17-2023,22.867127705806624,23.4754,20.712941437655584,20.85430369286774,2476567642.2222223,8132638991.739842
Jan-16-2023,23.593693621160917,23.876899248233233,22.921852704135148,22.921852704135148,2790695043.5555553,8492157432.763332
Jan-15-2023,22.89864156333086,24.6593,22.6042,23.597189269472764,3448337958.2222223,8501076844.612507
Jan-14-2023,24.2767,24.8059,22.0885,22.842405208482294,5139476673.777778,8367915159.505574
Jan-13-2023,18.275955889893496,24.55165894320534,18.275955889893496,24.3714,6238121586.666667,8172979776.909092
Jan-12-2023,16.596,18.530750606520634,16.3591,18.28499112621352,2134865255.1111112,6139901054.968836
Jan-11-2023,16.336171223252585,16.831524366564828,15.7388,16.6024,1925538881.3333333,5913880003.006992
Jan-10-2023,16.21370640656712,16.4808981730978,15.36643678214284,16.344182641418673,1640225961.7777777,5784713234.9928465
Jan-09-2023,16.274881379693227,16.6254,15.7153,16.227227173084152,2935331075.5555553,5871205741.209808
Jan-08-2023,14.462644320353972,17.299483197673542,14.344718984725548,16.295394737722223,3440978568,5904807452.072292
Jan-07-2023,13.10035494518732,14.007711159664513,12.9208,14.007711159664513,878068059.6666666,4898334329.754865
Jan-06-2023,13.512630953249904,13.512630953249904,13.0521,13.1028,1014631317.1111112,4802693587.099083
Jan-05-2023,13.4179,13.543759650725063,12.753882874973925,13.527248580683203,1536653651.1111112,4784244704.693293
Jan-04-2023,13.42615980938814,13.7381,12.9666,13.4237,2159998792.4444447,4811852531.536505
Jan-03-2023,13.3399,14.0888,12.8734,13.420701022016159,4136615232,4899654819.755848
Jan-02-2023,11.273603965777479,13.472413432654173,11.078325950804098,13.351902081881423,2180517184,4407272291.105223
Jan-01-2023,9.98312200197341,11.35744393875395,9.843420613920113,11.250641887591346,1108864457.5555556,3910657281.7024364
Dec-31-2022,9.952850129239003,10.054435859439693,9.705558643369736,9.954291784664075,738201996.4444444,3591890015.7383037
Dec-30-2022,9.875223664735103,10.1411,9.670669789187544,9.95178032310503,1554625498.0905924,3593554774.911687
Dec-29-2022,9.614819313989267,10.008504696362074,9.024422359628305,9.858421227337166,3251107931.5555553,3462950186.6480665
Dec-28-2022,9.754603064890276,9.820563676520266,8.115817282295996,9.581429352472007,1148370961.7777777,3401464266.201008
Dec-27-2022,11.092980808095358,11.112094869007787,9.522651299483814,9.763648316191043,888603445.5555556,3689360932.7669334
Dec-26-2022,11.334604478350512,11.38856735022247,10.7491,11.088233286264185,389490513.2222222,4030429151.3183727
Dec-25-2022,11.382130042986395,11.4468,11.129112095635959,11.296939196077899,265343397.55555555,4096482215.662901
Dec-24-2022,11.4386,11.529824138700338,11.2746,11.379207762244622,324351766.9686411,4139021472.3126087
Dec-23-2022,11.784688182257378,11.784688182257378,11.2159,11.4411,395856319.6666667,4157362288.3422375
Dec-22-2022,11.812953068771096,12.0915,11.731493070923673,11.782240250995526,400443953.3333333,4311673866.151437
Dec-21-2022,12.136745896959159,12.171800768455242,11.7123,11.79141662429655,298265948.8888889,4351924322.647163
Dec-20-2022,12.26990864804302,12.27796640038439,11.9092,12.101467118289507,323042459.3333333,4379302858.715665
Dec-19-2022,11.937913489608732,12.4424,11.860711011463025,12.271813931524516,459761767.3333333,4452039542.222058
Dec-18-2022,12.385140619839634,12.569067797104415,11.7216,11.924771234847453,311840613.1111111,4432811443.912106
Dec-17-2022,12.488555725538276,12.571523054427018,12.29151528034643,12.431377186214835,279378267.0555556,4507574704.66342
Dec-16-2022,12.265508785204572,12.509157698559056,11.9582,12.487290582075419,744583383.6666666,4461980775.616727
Dec-15-2022,14.041943379015253,14.162684283475002,12.059558398085679,12.2395,587565823.5555556,4877824367.624803
Dec-14-2022,14.137632494644194,14.4459,13.9003,14.008713179611211,895742381.3333334,5117781609.803865
Dec-13-2022,13.879663555756286,14.872740414616187,13.8286,14.160193458861688,713156940.6666666,5130979895.531891
Dec-12-2022,13.316801797415057,14.0382,12.8549,13.824093408502891,518204604,4871342474.9203205
Dec-11-2022,13.419857415951626,13.461086003544954,12.949417111741077,13.316409783475306,361397057.0555556,4778786898.879405
Dec-10-2022,13.571770694857486,13.783989926531477,13.398250337746452,13.422211826129061,174737563.2777778,4947133637.780834
Dec-09-2022,13.583761365977564,13.693269583735654,13.554801728249497,13.561543473946353,325252316.8888889,4943113804.430309
Dec-08-2022,13.68288754663247,13.9832,13.5238,13.574650176569447,390516511.1111111,4975898111.312192
Dec-07-2022,13.498486322393891,13.7557,13.2969342480527,13.695423794333303,403150421.74216026,4905800311.450936
